date,trades_count,accounts_n,gross_volume_usd,net_volume_usd,total_profit,total_loss,avg_trade_size_usd,median_trade_size_usd,mean_pnl_per_trade,fg_value,fg_class,profit_margin
2024-03-09,818,2,4640448.42,-27071.839999999997,29428.601867,37348.072899,5672.919828850856,1997.93,-9.681504929095357,84.0,Extreme Greed,0.4407018164669659
2024-07-03,1558,2,13777354.59,-125804.88999999998,233062.842975,113490.90094,8842.974704749678,3995.67,76.74707447689346,50.0,Neutral,0.6725157268309987
2024-10-27,3094,7,42975490.97,-499310.3499999999,354638.813543,337788.887171,13889.945368455074,4000.715,5.4460007666451204,74.0,Greed,0.5121672821253578
2025-02-20,15721,7,296775031.21,7014065.87,3271933.53866,296146.449793,18877.617912982634,1987.55,189.28739195133898,49.0,Neutral,0.9170011740904388
2025-06-15,6740,5,257773864.84,-8635539.520000001,568385.393441,82975.871302,38245.38054005935,4182.469999999999,72.01921693456974,,,0.8726115969841424
